Example	Website or web page giving email address	Xtal,Rxn,QM,MD,Cheminf,Viewer,Draw,Dock	New Category	Open Source/Freeware/Free for Academics/Shareware/Commercial	OS License Type	Description that contains full sentences.	Comments
Bist	http://www.autistici.org/interzona/bist.html	Draw		Open Source	GPL, C++	Bist (Bidimensional Structures) is a chemical drawing program focussed on organic chemistry. Using the OpenBabel API, it can import/export in a wide variety of file formats including CML. A notable feature is that it can automatically parse linear fragments to create a 2D structure.	
BKChem	http://bkchem.zirael.org/index.html	Draw		Open Source	GPL, Python	BKChem is a chemical drawing program written in Python. One of its notable features is SVG export.	
BobScript	http://www.strubi.ox.ac.uk/bobscript/	Viewer		Free for academics		BobScript is a program to facilitate the production of publication quality molecular graphics. It is a further development of the program MolScript, but has extensions that make it particularly suited to protein crystallography. Output can be in PostScript format or as a file suitable for rendering with <a href=http://www.bmsc.washington.edu/raster3d/raster3d.html>Raster3D</a>. A conversion program also enables POV-Ray to be used as the rendering engine.	
Bodil	http://users.abo.fi/bodil/about.php	Viewer		Freeware		Bodil is a modular, multi-platform software package for biomolecular visualization and modeling. Bodil aims to provide easy three-dimensional molecular graphics closely integrated with sequence viewing and sequence alignment editing.	
BOSS	http://www.cemcomco.com/BOSS_and_MCPRO_Distribution125.html	MM, QM		Commercial		BOSS (Biochemical and Organic Simulation System) is a general purpose molecular modeling system that performs molecular mechanics (MM) calculations, Metropolis Monte Carlo (MC) statistical mechanics simulations, and semiempirical AM1, PM3, and PDDG/PM3 quantum mechanics (QM) calculations.	
CACTVS	http://www2.ccc.uni-erlangen.de/software/cactvs/index.html		Workflow	Freeware		CACTVS is a distributed client/server system for the computation, management, analysis and visualisation of chemical information of any, even dynamically and ad-hoc defined type. CACTVS Tools is a visualization package for chemist.	
CAMEO	http://www.cemcomco.com/CAMEO_Distribution1139.html	Rxn		Commercial		CAMEO is a modular expert system, a computer program that predicts the products of organic reactions given starting materials, reagents and conditions. Online demo - WebCAMEO available.	
Cantera	http://cantera.googlecode.com	Rxn, Thermo		Open Source	BSD, (Python, C++)	Cantera is a suite of object-oriented software tools for problems involving chemical kinetics, thermodynamics, and/or transport processes. You can use Cantera from Python or Matlab to handle problems in areas such as combustion, flame structure, detonations, electrochemical energy conversion, fuel cells, aqueous electrolytes, plasmas and thin-film deposition.	
CASTEP	http://www.castep.org	QM		Commercial		A fully-featured first principles electronic structure code based on density functional theory and using a plane-wave basis set with pseudopotentials. It uses periodic boundary conditions and is therefore highly suited to modelling solids, liquids, and surfaces using slab geometry. Available for free to UK academics.	
cclib	http://cclib.sourceforge.net	QM		Open Source	GPL, Python	cclib (computational chemistry library) allows users to easily implement computational chemistry algorithms that use the results from calculations from any of a large number of popular computational chemistry packages (incl. GAMESS, GAMESS-UK, Jaguar, Gaussian, Molpro and ADF).	
CCP1GUI	http://ccp1gui.sourceforge.net	QM, Viewer		Open Source	GPL, Python	CCP1GUI is a free, extensible Graphical User Interface (GUI) developed for GAMESS-UK, but also supporting other packages. The GUI has been built around the Python open-source programming language and the VTK visualisation toolkit. It has support for conventional formats such as Z-matrix and PDB, as well as programme-specific formats for CHARMM, ChemShell, XMol and Gaussian.	
CDA	http://www.uni-marburg.de/fb15/ag-frenking/cda	QM		Freeware		CDA (Charge Decompositional Analysis) has been devised to analyze chemical systems which can be described as donor-acceptor complexes. The electronic and energetic changes associated with the formation of a complex consisting of two fragments A and B are partitioned in terms of the familiar Dewar-Chatt-Duncanson model. The energy analysis is feasible within the Hartree-Fock approximation, while the charge decomposition analysis can also be carried out at correlated levels. Requires Gaussian output files.	
ChemApp	http://gttserv.lth.rwth-aachen.de/~sp/tt/chemapp/chemapp.htm	Thermo		Commercial		ChemApp provides the powerful calculation capabilities of ChemSage in the form of a programmer's library. It consists of a rich set of subroutines which provides all the necessary tools for the calculation of complex multicomponent, multiphase chemical equilibria and the determination of the associated energy balances. ChemApp <i>light</i> is the free version of ChemApp, giving you almost the same functionality as the regular version of ChemApp.	Lite version available for free, also add ChemSage maybe if available for Linux
ChemCalc	http://www.chemcalc.org		Utility	Freeware		ChemCalc is intended to be a calculator oriented towards chemistry. It calculates the molecular formula, molecular mass, exact mass, elemental analysis and plots the isotopic distribution graph.	This may be open source -- I don't know
ChemDoodle	http://www.chemdoodle.com/	Draw		Commercial		ChemDoodle is an innovative 2D chemical drawing application which works on any operating system with Java installed. It contains an abbreviation library which can be extended, and can import and export many file formats including ChemDraw Exchange Format.	
ChemicalInventory	http://www.chemicalinventory.org/		Inventory	Open Source	GPL, Java	ChemicalInventory is a web application that manages the chemical stock in a laboratory or production facility, where chemicals must be safely stored, easily found and tracked.	
Chemistry 4-D Draw for Java	http://www.cheminnovation.com/products/chem4d.asp	Draw		Commercial		Chemistry 4-D Draw is an easy-to-use and powerful structure drawing program implemented in 100% Java. Users will be able to use the same graphical interface regardless of the types of machines they are using.	Possibly not available for Linux - I have emailed
Chemistry Development Kit (CDK)	http://cdk.sourceforge.net/	Cheminf		Open Source	GPL, Java	The Chemistry Development Kit (CDK) are Java utility classes for chemoinformatics and computational chemistry. These classes include descriptor calculation, 2D structure layout, graph algorithms, and chemical file format readers among others.	
CHEMKIN	http://www.reactiondesign.com/products/open/chemkin.html	Rxn		Commercial		CHEMKIN is a set of software tools for solving complex chemical kinetics problems. It allows users to predict the chemical conditions of their system based on variable reactor parameters, inlet gas, and catalyst compositions when applicable. CHEMKIN consists of gas and surface-phase chemical kinetic solvers, and a variety of reactor models that can be used to represent the different systems you are interested in modeling.	
ChemNomParse	http://chemnomparse.sourceforge.net/	Cheminf		Open Source	LPGL, Java	ChemNomParse is a chemical nomenclature parser. The project aims to build molecules from an IUPAC chemical name.	
ChemSol	http://laetro.usc.edu/programs/		Solvation	Freeware		ChemSol calculates solvation energies using the Langevin Dipoles (LD) model of the solvent and ab initio calculations.	
Chemsuite	http://chemsuite.seul.org/	Draw	IR,Utility	Open Source	GPL, C++	Chemsuite is composed of several programs that work independently of each other: Chem2D - a 2D molecular drawer; Molcalc - a molecular weight calculator; chemIR: an infrared spectra processor which can read, process, export and print Perkin Elmer spectra.	
Chemtool	http://ruby.chemie.uni-freiburg.de/~martin/chemtool/chemtool.html	Draw		Open Source	GPL, C	Chemtool is a program for drawing organic molecules easily and store them as an X-Bitmap, Postscript and XFig file. It runs under X- Window and is written with GTK+.	
Chimera	http://www.cgl.ucsf.edu/chimera/index.html	Viewer, MD, Dock		Free for academics		Chimera is an extensible molecular modeling system that can be used for molecular visualisation, addition of hydrogens, volumetric data, displaying the results of MD simulations, viewing the output of DOCK, and it has support for writing extensions in the Python scripting language.	
CHIMP	http://chimp.sourceforge.net	Rxn		Open Source	GPL, C++	CHIMP (CHIMP Hierarchical Modeling Program) is a generic tool for the modeling of chemical phenomena. CHIMP has the ability to perform dynamic Monte Carlo simulations on chemical reactions, in particular heterogeneous catalytic reactions.	
Cn3D	http://ncbi.nih.gov/Structure/CN3D/cn3d.shtml	Viewer		Freeware		Cn3D is a visualization tool for biomolecular structures, sequences, and sequence alignments. It can also function as a helper application for web browsers and allows the web browser to show 3-dimensional structures from <a href=http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Structure>NCBI's Entrez</a> retrieval service.	
CNS	http://cns.csb.yale.edu/	Xtal, NMR		Free for academics		CNS (Crystallography & NMR System) is a software suite designed to provide a flexible multi-level hierachical approach for the most commonly used algorithms in macromolecular structure determination.	
COLUMBUS	http://www.univie.ac.at/columbus/	QM		Free for academics		COLUMBUS is a collection of programs for high-level ab initio molecular electronic structure calculations. The programs are designed primarily for extended multi-reference (MR) calculations on electronic ground and excited states of atoms and molecules.	
Computational Crystallography Toolbox	http://cctbx.sourceforge.net/	Xtal		Open Source	GPL, (C++,Python)	The Computational Crystallography Toolbox (cctbx) is a collection of fundamental procedures for Computational Crystallography. It includes a unit cell toolbox , a space group toolbox and an element toolbox for the handling of scattering factors and other element properties.	Open Source component of the PHENIX system (which you need to add!)
ConQuest	http://www.ccdc.cam.ac.uk/products/csd_system/conquest/	Xtal		Commercial		ConQuest is the primary program for searching and retrieving information from the Cambridge Structural Database (CSD). ConQuest provides a full range of text/numeric database search options, in addition to more complex search functionality including chemical substructure searching, geometrical searching, and intermolecular and non-bonded contact searching.	
CONSCRIPT	http://local.wasp.uwa.edu.au/~pbourke/papers/conscript/	Xtal		Freeware		CONSCRIPT generates Gouraud shaded isosurfaces of protein electron density for high quality presentation in journals.	
CORINA	http://www2.chemie.uni-erlangen.de/software/corina/index.html	Cheminf		Commercial		CORINA (COoRdINAtes), is a rule and data based system, that automatically generates three-dimensional atomic coordinates from the constitution of a molecule as expressed by a connection table or linear code. CORINA offers many features to influence the 3D generation process, e.g. addition of lacking or implicitly given hydrogen atoms, neutralization of formal charges, orientation of the 3D structures according to their moments of inertia, removement of counter ions in salts.	
COSMOtherm	http://www.cosmologic.de	Cheminf, Thermo		Commercial		COSMOtherm provides realistic solvation thermodynamics based on quantum chemical calculations.	
CP2K	http://cp2k.berlios.de/	QM, MD		Open Source	GPL, Fortran	CP2K can perform atomistic and molecular simulations of solid state, liquid, molecular and biological systems. It provides a general framework for different methods such as e.g. Density functional theory (DFT) using a mixed Gaussian and plane waves approach (GPW), and classical pair and many-body potentials.	
CPMD	http://www.cpmd.org/	QM, MD		Free for academics		The CPMD code is a parallelised plane wave/pseudopotential implementation of density functional theory, particularly designed for ab-initio (Carr-Parrinello) molecular dynamics.	
CP-Optimizer	http://stark.udg.es/~perico/bbopt.html	QM		Freeware		CP-Optimizer (Counterpoise Optimizer) is an automatic procedure to perform geometry optimisation and harmonic frequency calculations using GAUSSIAN.	
Crunch	http://www.bfsc.leidenuniv.nl/software/crunch/	Xtal		Free for academics		Crunch is a direct methods program for solving the phase problem in crystallography. Instead of using the usual triplet relation to determine the phases, Karle Hauptman matrices are used.	
CRYSTAL	http://www.crystal.unito.it/	QM		Commercial		CRYSTAL computes the electronic structure of periodic systems within Hartree Fock, density functional or various hybrid approximations. The Bloch functions of the periodic systems are expanded as linear combinations of atom centred Gaussian functions. CRYSTAL may be used to perform studies of the physical, electronic and magnetic structure of molecules, polymers, surfaces and crystalline solids.	
Dalton	http://www.kjemi.uio.no/software/dalton/dalton.html	QM		Freeware		The Dalton Quantum Chemistry Program represents a powerful quantum chemistry program for the calculation of molecular properties with SCF, MP2 or MCSCF wave functions. The strengths of the program are mainly in the areas of magnetic and (frequency-dependent) electric properties, and for studies of molecular potential energy surfaces, both for static and dynamical investigations.	
Debyer	http://www.unipress.waw.pl/debyer/	Xtal		Open Source	GPL, C	Debyer takes a file with atom positions as input, and outputs X-ray and neutron diffraction patterns, the total scattering structure function, the pair distribution function (PDF), and related functions such as the RDF (reduced PDF). It can be used for comparison of molecular dynamics simulations or other models of atomistic structure of the material with X-ray and neutron powder diffraction experiments.	
DelPhi	http://wiki.c2b2.columbia.edu/honiglab_public/index.php/Software%3ADelPhi		Solvation	Commercial		DelPhi provides numerical solutions to the Poisson-Boltzmann equation (both linear and nonlinear form) for molecules of arbitrary shape and charge distribution. It is fast, accurate, and can handle extremely high lattice dimensions. It also includes flexible features for assigning different dielectric constants to different regions of space and for treating systems containing mixed salt solutions.	
deMon2K	http://www.demon-software.com/	QM		Freeware		deMon2K allows the user to perform ab-initio DFT calculations of large systems including transition metals with precision in a relatively short time.	
DENEB	https://www.atelgraphics.com/	Viewer, QM		Commercial		DENEB is a powerful graphical user interface to many DFT calculation packages as SIESTA, VASP and QE. It is capable of managing hundreds of projects, each containing hundreds of simulations applied to different samples, every one containing thousands of atoms.	
DINO	http://cobra.mih.unibas.ch/dino	Viewer		Freeware		DINO is a realtime 3D visualization program for structural biology data. DINO aims to visualize all this structural data in a single program and to allow the user to explore relationships between the data.	
Dirac	http://dirac.chem.sdu.dk/	QM		Free for academics		Dirac (Direct Iterative Relativistic All-electron Calculations) uses FORTRAN (and a bit of C) code for relativistic molecular calculations based on the Dirac-Coulomb Hamiltonian. It solves the the 4-component DHF equations by the SCF iterative procedure and provides tools for analysis of the converged wave function.	
DIRDIF	http://www.xtal.sci.kun.nl/dirdif/software/dirdif.html	Xtal		Free for academics		DIRDIF performs crystal structure determination by Patterson methods and direct methods applied to difference structure factors.	
DisMol	http://www.rahul.net/pcm/dismol/	Viewer		Open Source	BSD Compatible, Java	DisMol is a molecular viewer applet written in Java, which allows molecular structures to be viewed on the web.	
DL_MESO	http://www.cse.clrc.ac.uk/ccg/software/DL_MESO/index.shtml		Mesoscopic modeling	Free for academics		DL_MESO is a general purpose mesoscopic simulation package developed at Daresbury Laboratory as part of a collaborative computational project for the Computer Simulation of Condensed Phases (CCP5). DL_MESO can simulate condensed phases using the Lattice-Boltzmann Equation, Dissipative Particle Dynamics and Smoothed Particle Hydrodynamics.	
DL_POLY	http://www.cse.clrc.ac.uk/ccg/software/DL_POLY/	MD		Commercial		DL_POLY is a package of subroutines, programs and data files, designed to facilitate MD simulations of macromolecules, polymers, ionic systems and solutions on a distributed memory parallel computer. This package is free for UK academics.	
DL Visualize	http://www.cse.clrc.ac.uk/cmg/DLV/	Viewer, QM, Xtal		Free for academics		DL Visualise provides a powerful interface for constructing and visualizing crystals, surfaces and molecules and their properties. It has interfaces to CRYSTAL, DX_EXCURV and GULP.	
DMax Chemistry Assistant	http://www.pharmadm.com/DMaxChemistryAssistant.asp	Cheminf		Commercial		DMax Chemistry Assistant automatically finds, formulates and shows scientific hypotheses that best match observations in a high-throughput screen. It also makes a statistical estimate of the confidence you can have in each hypothesis, and it can predict unmeasured values based on past measurements.	
Dockres	http://fulcrum.physbio.mssm.edu/~mezei/dockres/	Dock		Free for academics		Dockres reads the log file of docking runs performed by Autodock and extracts the top scoring poses subject to various filters. The program also calculates distributions of various properties of the ligand set (e.g. molecular weight, number of hydrogen bond donors) and the distribution of docking sites as well as the distribution of docking free energies per target residue.	
Dragon	http://www.talete.mi.it/products/dragon_description.htm	Cheminf		Commercial		Dragon is an application for the calculation of molecular descriptors. These descriptors can be used to evaluate molecular structure-activity or structure-property relationships, as well as for similarity analysis and high-throughput screening of molecule databases	
DRAWxtl	http://www.lwfinger.net/drawxtl/	Xtal, Viewer		Freeware		DRAWxtl reads a basic description of the crystal structure, and displays it using polyhedra, planes, lone-pair cones, spheres or ellipsoids, bonds, iso-surface Fouier contours and the unit-cell boundary. Image information can be exported as Virtual Reality Modeling Language (VRML), and in a format suitable for the Persistence of Vision Ray Tracer (POV-RAY).	
EasyChem	http://easychem.sourceforge.net/	Draw		Open Source	GPL, C	EasyChem is a program designed to draw chemical structures, written under Linux and using Gtk+. Its main features are ease of drawing ornaments (non-bonding electron pairs, etc.) and EPS exporting with LaTeX fonts.	
Ecce	http://ecce.emsl.pnl.gov/	QM, Viewer		Commercial		Ecce (the Extensible Computational Chemistry Environment) provides a sophisticated graphical user interface, scientific visualization tools, and the underlying data management framework enabling scientists to efficiently set up calculations and store, retrieve, and analyze the rapidly growing volumes of data produced by computational chemistry studies.	
EChem++	http://www.echem.uni-tuebingen.de/~bs/echem/software/EChem++/echem++.shtml	Electrochemistry		Open Source	GPL, C++	EChem++ is designed to be used for the modeling and simulation of (electro)chemical reaction kinetics as well as transport processes. Hardware control of experiments and data analysis are future aspects of the project.	
Eden	http://edencrystallography.googlecode.com	Xtal		Open Source	GPL, C	Eden (short for Electron DENsity) implements the 'holographic' method of recovering the electron density in a crystal. The most unconventional feature of the holographic method is that it is a real-space method: it searches for a distribution of electrons in the unit cell that meets all the known constraints on the molecules themselves, while giving rise to the observed diffraction pattern.	
EGO	http://www.lrz-muenchen.de/~heller/ego/index.html	MD		Open Source	GPL, C	EGO is a parallel program for molecular dynamics simulations of biomolecules. The program computes molecular dynamics trajectories. It uses a multiple time step algorithm combined with a structure adapted fast multipole method for the description of long range electrostatics. The method has been demonstrated to scale linearly with the number of atoms in the range of about 40,000 atoms.	
eHiTS	http://www.simbiosys.ca/ehits/index.html	Dock		Free for academics		eHiTS (Electronic High Throughput Screening) is a program for flexible docking of ligands to proteins. It is fast, fully automated, and comprehensively covers the searc space.	
Ergo	http://ergoscf.org/	QM		Open Source	GPL, C++	Ergo is a quantum chemistry program for large-scale self-consistent field calculations. It performs electronic structure calculations using Hartree-Fock and Kohn-Sham density functional theory using Gaussian basis sets. Linear scaling techniques are employed such as fast multipole methods, hierarchic sparse matrix algebra, density matrix purification, and efficient integral screening.	
Erkale	http://erkale.googlecode.com	QM		Open Source	GPL, C++	ERKALE is a quantum chemistry program used to solve the electronic structure of atoms, molecules and molecular clusters. The main use of ERKALE is the computation of x-ray properties, such as ground-state electron momentum densities and Compton profiles, and core (x-ray absorption and x-ray Raman scattering) and valence electron excitation spectra of atoms and molecules.	
Espoir	http://www.cristal.org/sdpd/espoir/	Xtal		Open Source	GPL, Fortran	Espoir solves crystal structures from powder diffraction data using the direct space approach.	
ESPResSo	http://espressomd.org	MD	Mesoscopic modeling	Open Source	GPL, C	ESPResSo (Extensible Simulation Package for Research on Soft matter) is a software package for the scientific simulation and analysis of coarse-grained atomistic or bead-spring models as they are used in soft matter research, with emphasis on charged systems. It can be driven by Tcl scripts.	
Fenske-Hall program	email/carlo_nervi.html	QM		Free for academics		an Hartree-Fock SCF method (STO Basis Set), with special optimization, suitable to perform calculations (especially ionization energies) of large inorganic and organometallic compounds. The original FORTRAN source is compiled by f2c.	
FHI98md	http://www.fhi-berlin.mpg.de/th/fhi98md/	QM		Freeware		FHI98md is an efficient code to perform density functional theory total-energy calculations for materials ranging from insulators to transition metals. The package employs first-principles pseudopotentials, and a plane-wave basis-set.	
FIRM	http://daffy.uah.edu/nmr/software/DownloadSoftware.html	NMR		Freeware		FIRM (Full Iterative Relaxation Matrix) a flexible program for calculating NOEs and back-calculated distance constraints using the full relaxation matrix approach.	
fityk	http://www.unipress.waw.pl/fityk/	Xtal	Spectroscopy	Open Source	GPL, C++	fiytk is a tool for curve fitting and data analysis (e.g. baseline correction), used in crystallography, chromatography, photoluminescence or photoelectron spectroscopy, infrared or Raman spectroscopy, and in other fields. Common tasks can be automated with scripts.	
FlexV	http://www.biosolveit.de/FlexV/	Viewer, Dock		Freeware		FlexV is a general-purpose molecular viewer. It is a stand-alone tool with easy interfaces, and can be used in combination with any kind of molecular modeling software, although originally designed as a visualisation front-end for FlexX.	
FOX	http://objcryst.sourceforge.net/Fox	Xtal		Open Source	GPL, C++	FOX performs ab initio crystal structure solution from diffraction data (mostly powder diffraction data). Solutions can be constrained using angle or atom based constraints. Multiple powder patterns can be used simultaneously, and input is using a graphical user interface.	
Frowns	http://frowns.sourceforge.net/	Cheminf		Open Source	Python Software Foundation License, Python	Frowns is a chemoinformatics toolkit geared toward rapid development of chemistry-related algorithms.	
Gabedit	http://gabedit.sourceforge.net/	QM, Viewer		Open Source	BSD-like, C	Gabedit is a graphical user interface for Molpro, Molcas, MPQC and Gaussian written in C,and based on GTK+.	
GAMESS	http://www.msg.ameslab.gov/GAMESS/GAMESS.html	QM		Freeware		The General Atomic and Molecular Electronic Structure System (GAMESS) is a general ab initio quantum chemistry package. Briefly, GAMESS can compute wavefunctions ranging from RHF, ROHF, UHF, GVB, and MCSCF, with CI and MP2 energy corrections available for some of these. Analytic gradients are available for these SCF functions, for automatic geometry optimization, transition state searches, or reaction path following.	
GAMESS-UK	http://www.cfs.dl.ac.uk	QM		Commercial		GAMESS-UK is a general purpose ab initio molecular electronic structure program for performing SCF-, DFT- and MCSCF-gradient calculations, together with a variety of techniques for post Hartree Fock calculations. The program is derived from the original GAMESS code, obtained from Michel Dupuis in 1981, and has been extensively modified and enhanced sincce then. Available for free to U.K. academics.	
GAMGI	http://www.gamgi.org/	Viewer		Open Source	(GPL,BSD), (C,Python,Perl)	GAMGI (General Atomistic Modelling Graphic Interface) is an object-oriented program aiming to handle all aspects directly related with building, viewing and analysing atomic strucures, such as molecules, crystals, glasses, liquids, etc.	
GAMMA	http://gamma.ethz.ch/	NMR		Freeware		GAMMA is a C++ library written for simulation of Magnetic Resonance experiments. Its purpose is to provide a simple and intuitive means with which users may construct simulation programs to suit their individual needs. A Python wrapper is also available.	
garlic	http://www.zucic.org/garlic/	Viewer		Open Source	GPL, C	Garlic is a free molecular visualization program written for both educational and professional research purposes.	
Gaussian	http://www.gaussian.com/	QM		Commercial		Gaussian is an ab initio electronic structure program. Designed to model a broad range of molecular systems under a variety of conditions, it performs its computations starting from the basic laws of QM.	
GaussSum	http://gausssum.sourceforge.net/	QM	Utility	Open Source	GPL, Python	GaussSum is a GUI application that can analyse the output of Gaussian 98/03, ADF, GAMESS (US), GAMESS (UK), and PC-GAMESS calculations to extract and calculate useful information. This includes the progress of the SCF cycles, geometry optimisation, UV-Vis/IR/Raman spectra, MO levels, MO contributions and more.	
GChemPaint	http://www.nongnu.org/gchempaint/	Draw		Open Source	GPL, C++	GChemPaint is a 2D chemical structures editor for the Gnome-2 desktop. GChemPaint is a multi document application and is a bonobo server so that chemistry can be embedded in other Gnome applications.	
GDIS	http://gdis.sourceforge.net/	Xtal, Viewer		Open Source	GPL, C	GDIS (GTK Display Interface for Structures) is a visualization program for small molecules, crystals, and solution cells. It has support for common crystallographic file formats, and assorted tools for visualization (including diffraction pattern generation), manipulation, and model creation. Rendering of molecules and energy minimization are also possible via Povray and GULP.	
gdpc	http://www.frantz.fi/software/gdpc.php	Viewer, MD		Open Source	GPL, C	gdpc is a program for visualising MD simulations. It is a very versatile program and could easily be used for other purposes. gdpc reads xyz input and custom formats and can write out pictures of the frames.	
gElemental	http://www.kdau.com/projects/gelemental/	Cheminf, Education	Periodic Table	Open Source	GPL, (C++, Python)	gElemental is a periodic table viewer derived from GPeriodic that provides detailed information on the chemical elements. It uses the GTK+ toolkit and is available for Linux and other GTK+ platforms. It also provides Python bindings to the data, which is stored in a separate data library.	
GenChemLab	http://genchemlab.sourceforge.net/	Education		Open Source	GPL, C++	GenChemLab (General Chemistry Lab Simulator) is a graphical application for simulating several common general chemistry exercises. It is meant to be used to help students prepare for actual lab experience.	
